1|1|Huolto 7250|189|Vaihdettiin osanro 3860 ja putsattiin osa 26
2|1|Huolto 5369|133|Vaihdettiin osanro 8428 ja putsattiin osa 73
3|2|Huolto 4775|215|Vaihdettiin osanro 5324 ja putsattiin osa 50
4|2|Huolto 296|323|Vaihdettiin osanro 1613 ja putsattiin osa 164
5|2|Huolto 6838|198|Vaihdettiin osanro 227 ja putsattiin osa 8
6|4|Huolto 3112|336|Vaihdettiin osanro 4261 ja putsattiin osa 99
7|4|Huolto 2771|87|Vaihdettiin osanro 1147 ja putsattiin osa 135
8|4|Huolto 3623|209|Vaihdettiin osanro 3463 ja putsattiin osa 11
9|4|Huolto 1855|56|Vaihdettiin osanro 5000 ja putsattiin osa 153
10|4|Huolto 1942|435|Vaihdettiin osanro 9530 ja putsattiin osa 44
11|4|Huolto 2913|92|Vaihdettiin osanro 7373 ja putsattiin osa 169
12|4|Huolto 8491|321|Vaihdettiin osanro 2485 ja putsattiin osa 49
13|4|Huolto 3212|273|Vaihdettiin osanro 9790 ja putsattiin osa 192
14|4|Huolto 2522|433|Vaihdettiin osanro 1059 ja putsattiin osa 57
15|4|Huolto 8685|304|Vaihdettiin osanro 9034 ja putsattiin osa 73
16|4|Huolto 5832|257|Vaihdettiin osanro 3812 ja putsattiin osa 72
17|4|Huolto 6893|114|Vaihdettiin osanro 2400 ja putsattiin osa 66
18|4|Huolto 2395|489|Vaihdettiin osanro 2369 ja putsattiin osa 159
19|4|Huolto 6025|12|Vaihdettiin osanro 3063 ja putsattiin osa 69
20|4|Huolto 4799|111|Vaihdettiin osanro 3387 ja putsattiin osa 105
21|4|Huolto 2175|105|Vaihdettiin osanro 3435 ja putsattiin osa 28
22|4|Huolto 1036|478|Vaihdettiin osanro 8366 ja putsattiin osa 152
23|4|Huolto 9612|286|Vaihdettiin osanro 6817 ja putsattiin osa 47
24|4|Huolto 7567|317|Vaihdettiin osanro 2883 ja putsattiin osa 180
25|4|Huolto 1289|234|Vaihdettiin osanro 245 ja putsattiin osa 192
26|6|Huolto 4497|347|Vaihdettiin osanro 3246 ja putsattiin osa 84
27|6|Huolto 1449|188|Vaihdettiin osanro 9163 ja putsattiin osa 85
28|6|Huolto 9881|497|Vaihdettiin osanro 2686 ja putsattiin osa 174
29|3|Huolto 9529|195|Vaihdettiin osanro 8318 ja putsattiin osa 115
30|3|Huolto 6494|375|Vaihdettiin osanro 3653 ja putsattiin osa 40
31|7|Huolto 5469|268|Vaihdettiin osanro 1447 ja putsattiin osa 160
32|5|Huolto 1907|84|Vaihdettiin osanro 9091 ja putsattiin osa 122
