1|Fuji Rakan7071|Fuji|Rakan|1997|AVK4DFG6249
2|Fuji Rakan5041|Fuji|Rakan|2008|AVK4DFG4622
3|Fuji Rakan9136|Fuji|Rakan|2011|AVK4DFG3084
4|Fuji Rakan4790|Fuji|Rakan|2016|AVK4DFG7090
5|Fuji Rakan7702|Fuji|Rakan|2007|AVK4DFG1796
6|Fuji Rakan3648|Fuji|Rakan|1991|AVK4DFG9226
7|Fuji Rakan9642|Fuji|Rakan|1995|AVK4DFG9506
8|Fuji Rakan3630|Fuji|Rakan|2003|AVK4DFG9574
9|Fuji Rakan7035|Fuji|Rakan|2020|AVK4DFG1250
10|Fuji Rakan8726|Fuji|Rakan|2014|AVK4DFG5117
11|Fuji Rakan4072|Fuji|Rakan|2003|AVK4DFG8145
12|Fuji Rakan1341|Fuji|Rakan|1998|AVK4DFG5220
13|Fuji Rakan7535|Fuji|Rakan|2013|AVK4DFG428
14|Fuji Rakan2913|Fuji|Rakan|2018|AVK4DFG1717
15|Fuji Rakan4108|Fuji|Rakan|2018|AVK4DFG2251
16|Fuji Rakan4736|Fuji|Rakan|2000|AVK4DFG402
17|Fuji Rakan6297|Fuji|Rakan|2019|AVK4DFG1440
18|Fuji Rakan6358|Fuji|Rakan|1997|AVK4DFG2276
19|Fuji Rakan6558|Fuji|Rakan|1996|AVK4DFG4535
